Year,CO2 Emissions (Gt),Energy Consumption (PWh),Electricity Generation (PWh),Population (Billions),GWP,CO2 Emissions (kg),Population,GWP per Capita,Carbon Intensity of Economy (kg/$),Energy Intensity of Economy (kWh/$),Carbon Intensity of Energy (kg/kWh),Carbon Intensity of Energy (g/kWh)
2007,30.4818740809625,135.21728317048724,20.019304859359167,6.68042304699093,57793330584397.1,30481874080962.5,6680423046.99093,8651.148314690792,0.5274289225544637,2.339669332139042,0.22542883103582076,225.42883103582076
2008,30.800378878340943,137.04586227993315,20.420570739488202,6.763745673295531,63386360623929.9,30800378878340.94,6763745673.29553,9371.48788343573,0.48591492830893096,2.1620717916433745,0.2247450478689196,224.7450478689196
2009,30.14529409873363,134.92541906248402,20.261371853837012,6.8472145491102,60086989444835.8,30145294098733.63,6847214549.1102,8775.391659465986,0.5016941999800005,2.2455014023685664,0.2234219045469359,223.42190454693588
2010,31.528396478135452,141.5368937999886,21.56171287227642,6.93065669936223,65906150734910.9,31528396478135.453,6930656699.36223,9509.365936560627,0.4783832180542546,2.1475521210346704,0.2227574424707206,222.7574424707206
2011,32.413034873830014,144.8550541174602,22.24244009343587,7.01284363535782,73241717918435.6,32413034873830.016,7012843635.35782,10443.939965973383,0.4425488068142564,1.9777670190474725,0.22376184988027345,223.76184988027345
2012,32.759662671814496,146.9315066232278,22.797310520298545,7.09740066507723,74802287628562.6,32759662671814.496,7097400665.07723,10539.391977210382,0.43795001076017237,1.9642648812136503,0.2229587337984572,222.95873379845722
2013,33.226122803184246,149.63168940157146,23.40287884370201,7.1828601146100794,76924649557249.8,33226122803184.246,7182860114.61008,10709.473431173124,0.4319307659433183,1.9451721946449785,0.22205271447556948,222.05271447556947
2014,33.34254284131078,151.06027285098776,23.843989446447917,7.268986175739159,78972470867720.3,33342542841310.78,7268986175.73916,10864.303351036411,0.4222046299799823,1.9128219136515971,0.22072343847942916,220.72343847942915
2015,33.30392853680383,152.41113735583662,24.21552700860347,7.35522041168203,74606412596560.3,33303928536803.832,7355220411.68203,10143.327925029362,0.4463949864054889,2.042869132175154,0.21851374587572717,218.51374587572715
2016,33.432044782223485,154.40344565982628,24.81635238988897,7.442135578,75641577475364.6,33432044782223.484,7442135578,10163.961228947743,0.4419797404821685,2.0412509999558552,0.21652395540368474,216.52395540368474
