Country,Year,Carbon Intensity of Economy (g/$),Carbon Intensity of Electricity (g/kWh),Carbon Intensity of Energy (g/kWh),CO2 Emissions (kg),CO2 Emissions (Mt),CO2 Emissions per Capita (kg),Coal Energy Consumption (Mtoe),Coal Energy Consumption per Capita (MWh),Coal Energy Consumption (TWh),Electricity Generation per Capita (MWh),Electricity Generation (TWh),Electrification,Energy Consumption (Mtoe),Energy Consumption per Capita (MWh),Energy Consumption (TWh),Energy Intensity of Economy (kWh/$),Gas Energy Consumption (Mtoe),Gas Energy Consumption per Capita (MWh),Gas Energy Consumption (TWh),GDP,GDP (Millions),GDP per Capita,Hydro Electricity Generation per Capita (MWh),Hydro Electricity Generation (TWh),Nuclear Electricity Generation per Capita (MWh),Nuclear Electricity Generation (TWh),Nuclear Energy Consumption (Mtoe),Nuclear Energy Consumption per Capita (MWh),Nuclear Energy Consumption (TWh),Oil Energy Consumption (Mt),Oil Energy Consumption per Capita (MWh),Oil Energy Consumption (TWh),Population,Population (Millions),Solar Electricity Generation per Capita (MWh),Solar Electricity Generation (TWh),Wind Electricity Generation per Capita (MWh),Wind Electricity Generation (TWh)
Iran,1970,3550.6275713221135,NA,232.11728983904476,38972558672.65668,38.972558672656675,1366.7863156622543,0.343,0.13989929862548273,3.9890900000000005,NA,NA,NA,14.436825716591377,5.8883434172870714,167.90028308395773,15.296695794545062,2.4321968666825096,0.9920193462623317,28.28644955951759,10976245153.7954,10976.2451537954,384.942179433737,0.0869496573789516,2.4792834,0,0,0,0,0,11.100628849908869,4.5276098845599115,129.10031352444017,28514010,28.51401,0,0,0,0
Iran,1971,3073.1691310135393,NA,229.76643115632663,42200148680.783516,42.200148680783514,1441.1994958955847,0.241652,0.09597988584374148,2.81041276,NA,NA,NA,15.79238371571505,6.272454547178969,183.66542261376605,13.375187644023775,2.8151525411337617,1.1181286293129673,32.74022405338565,13731801564.3564,13731.8015643564,468.961984991785,0.09101034149204194,2.6648982,0,0,0,0,0,12.132579174581288,4.818845133358992,141.1018958003804,29281268,29.281268,0,0,0,0
Iran,1972,2772.3322947520396,NA,228.98374305368455,47555100171.87311,47.55510017187311,1581.2538723887455,0.377565,0.14600776217619443,4.39108095,NA,NA,NA,17.857174224614962,6.9055289746836985,207.678936232272,12.107114058756892,3.222461846931716,1.2461548156441045,37.47723127981586,17153463263.3663,17153.463263366302,570.369531596925,0.11638392357487445,3.5001648,0,0,0,0,0,13.465147377683243,5.207092913771624,156.59966400245614,30074298,30.074298,0,0,0,0
Iran,1973,2150.3335214728386,NA,234.2820860547444,58234683563.623604,58.234683563623605,1884.357135090603,0.634845,0.2389070219452839,7.38324735,NA,NA,NA,21.372873872379383,8.043112330194496,248.56652313577223,9.178394975407436,3.91417303714423,1.4729948628132143,45.5218324219874,27081698249.1798,27081.698249179797,876.30924053118,0.09595493774954278,2.9654174,0,0,0,0,0,16.15285583523515,6.078697451358255,187.85771336378482,30904271,30.904271,0,0,0,0
Iran,1974,1406.5082873896567,NA,231.7572359312468,64993470952.66442,64.99347095266442,2044.7521968402077,0.695283,0.25439717135171697,8.08614129,NA,NA,NA,24.113303567884603,8.82281922557449,280.43772049449797,6.068886184882322,3.979732539268925,1.4561447651192398,46.2842894316976,46209092072.4584,46209.0920724584,1453.77898955368,0.10274925988265088,3.2659366,0,0,0,0,0,18.699288028615676,6.841884499938661,217.47271977280033,31785500,31.7855,0,0,0,0
Iran,1975,1470.8308971357749,NA,234.12754411398916,76154067569.13388,76.15406756913389,2326.696565207356,1.288003,0.4576602916650907,14.97947489,NA,NA,NA,27.96796584919971,9.937731051732051,325.2674428261927,6.282177958607359,4.060132073131618,1.442668401229039,47.21933601052073,51776222349.8518,51776.2223498518,1581.89263615434,0.10477837924772064,3.4294544,0,0,0,0,0,21.843830776068092,7.761669781870235,254.04375192567193,32730554,32.730554,0,0,0,0
Iran,1976,1276.5535725550224,NA,237.4951420187153,86876230066.24298,86.87623006624298,2575.0437926493237,1.2730029999999999,0.438826447855116,14.80502489,NA,NA,NA,31.45332203508893,10.842511433123978,365.80213526808427,5.375072356024976,4.573437378302476,1.5765440295178328,53.1890767096578,68055295080.4565,68055.2950804565,2017.18427491874,0.1137016295802378,3.8360392,0,0,0,0,0,24.73888165678646,8.527926141066196,287.7131936684266,33737768,33.737768,0,0,0,0
Iran,1977,1217.5440422701329,NA,237.4321221370508,98134199202.3299,98.1341992023299,2819.079603785589,1.2878209999999999,0.43025128291647374,14.97735823,NA,NA,NA,35.53867190100772,11.873202237388744,413.31475420871976,5.127966811362369,4.676829344189943,1.5624934096579677,54.39152527292904,80600122702.2202,80600.1227022202,2315.38203622545,0.11387875511807095,3.9642018,0,0,0,0,0,28.677021556817767,9.58077661029306,333.5137607057907,34810723,34.810723,0,0,0,0
Iran,1978,1220.801694487445,NA,221.19518936238669,95215593891.91383,95.21559389191384,2646.888360966932,0.7869020000000001,0.25440632678402475,9.151670260000001,NA,NA,NA,37.01286373438781,11.966301656906758,430.4596052309302,5.519115031418659,3.6217667088909336,1.17092136616454,42.12114682440156,77994316621.497,77994.316621497,2168.15587078476,0.17261048754481598,6.209257,0,0,0,0,0,31.199195025496874,10.086735838840257,362.8466381465287,35972652,35.972652,0,0,0,0
Iran,1979,1152.4462210813515,NA,227.2538355184203,104171777439.98267,104.17177743998266,2796.358172445695,1.1358409999999999,0.35460101868164634,13.20983083,NA,NA,NA,39.414782815446515,12.304998796022668,458.393924143643,5.071184908507028,4.852157735112453,1.5148071567014272,56.43059445935783,90391877325.2927,90391.87732529269,2426.45437270109,0.1444951674456312,5.3828292,0,0,0,0,0,32.20878408033406,10.055340179993197,374.58815885428515,37252659,37.252659,0,0,0,0
Iran,1980,1025.5402510364913,NA,234.08376883435324,96772311786.13614,96.77231178613614,2502.6316646107875,1.196173,0.3597655126095797,13.91149199,NA,NA,NA,35.54676639586791,10.691179815981803,413.40889318394386,4.381082277268884,4.321719073259045,1.2998165631105516,50.2615928220027,94362275579.4621,94362.2755794621,2440.30564581101,0.14434856841095864,5.5817022,0,0,0,0,0,28.76587432260886,8.651733086548619,334.54711837194105,38668220,38.66822,0,0,0,0
Iran,1981,981.9574050477353,NA,237.8430369119718,98686044356.52777,98.68604435652777,2453.8006543480665,0.9988819999999999,0.28885336974986764,11.616997660000001,NA,NA,NA,35.67677464850323,10.316890863011656,414.92088916209264,4.128594293938351,4.695856543407357,1.3579321545739946,54.61281159982757,100499312749.447,100499.31274944701,2498.88706142888,0.15153435822882547,6.0943526,0,0,0,0,0,28.603036105095878,8.271330711769835,332.6533099022651,40217629,40.217629,0,0,0,0
Iran,1982,885.1554226660927,NA,238.09141384150442,111484224740.17432,111.48422474017431,2661.780221787854,1.3472629999999999,0.3741027263542452,15.66866869,NA,NA,NA,40.261501697079346,11.179656497650015,468.24126473703285,3.717712488596223,6.43111935726169,1.7857680980336872,74.79391812495346,125948756439.161,125948.75643916099,3007.13315834473,0.15268297660749627,6.3948718,0,0,0,0,0,31.036119339817667,8.617988366400255,360.9500679220795,41883332,41.883332,0,0,0,0
Iran,1983,847.2395136453574,NA,239.12718701145948,132478739244.35847,132.47873924435848,3035.3639590073144,1.271152,0.3387207377177714,14.783497760000001,NA,NA,NA,47.6362446092663,12.693512590276292,554.0095248057671,3.543049722760114,7.349899308274856,1.9585095376872292,85.47932895523658,156365156618.288,156365.156618288,3582.65155262561,0.14338085024542965,6.2578704,0,0,0,0,0,37.59919330099143,10.01896428790963,437.27861809053036,43645092,43.645092,0,0,0,0
Iran,1984,883.7651685367794,NA,240.35826897369492,143414520418.11304,143.41452041811303,3153.7205344586937,0.98276,0.2513374863231667,11.429498800000001,NA,NA,NA,51.30436806428122,13.120915489717728,596.6698005875907,3.6768660895685668,8.555833133636048,2.1881248658966044,99.50433934418724,162276728619.617,162276.728619617,3568.50512640162,0.12867120774035534,5.8512856,0,0,0,0,0,40.44177493064518,10.34284469607597,470.3378424434035,45474708,45.474708,0,0,0,0
Iran,1985,869.3534277557902,3967.5604979172504,239.96716196188476,156643256018.27097,156.64325601827096,3308.709672258904,0.966867,0.23751629575346167,11.24466321,0.8339405722977112,39.481,0.7034090835115796,56.12807813470617,13.788176870568833,652.7695487066328,3.622801639392119,9.230062751665551,2.2674166295339537,107.34562980187037,180183629600.036,180183.62960003602,3805.94309129286,0.11817999741544112,5.5949604,0,0,0,0,0,44.665148383040616,10.972243952082886,519.4556756947624,47342702,47.342702,0,0,0,0
Iran,1986,700.2300203039518,3484.975823638737,239.50282088613966,146414289278.53424,146.41428927853423,2972.466023675132,0.9522780000000001,0.22484172127803081,11.074993140000002,0.8529373442170735,42.013,0.7992645997748962,52.56456999575921,12.410985443416765,611.3259490506796,2.923681724136532,8.867048425345905,2.093592869530143,103.12377318677288,209094561834.095,209094.561834095,4244.98512986471,0.14400308083088234,7.093137,0,0,0,0,0,41.1402435704133,9.71359537673785,478.46103272390667,49256842,49.256842,0,0,0,0
Iran,1987,1163.6223690416443,3460.4995102562516,235.17391697774448,155937028931.1672,155.93702893116722,3045.7948875526185,0.9367300000000001,0.2127872206683915,10.894169900000001,0.8801604735170374,45.062,0.7903693227942791,57.013852512250075,12.951244452167948,663.0711047174684,4.947922728827802,10.855045265259442,2.4658278396380373,126.24417643496732,134009995922.987,134009.995922987,2617.51146126653,0.1601248084817921,8.197987,0,0,0,0,0,43.367077246990625,9.851248316909434,504.359108382501,51197482,51.197482,0,0,0,0
Iran,1988,1333.8939645764349,3494.7016931449234,235.28350343977843,164146138527.01706,164.14613852701706,3092.684451211045,0.9666380000000001,0.21181100406593478,11.241999940000001,0.8849637888342629,46.97,0.7829987750806142,59.98732245164007,13.144501871133636,697.6525601125741,5.669305093962311,11.784775961248021,2.582295780885952,137.05694442931448,123057861333.933,123057.861333933,2318.5384545863,0.14221850794087787,7.5483352,0,0,0,0,0,45.52790849039204,9.976135854758384,529.4895757432595,53075618,53.075618,0,0,0,0
Iran,1989,1496.5839802240823,3506.3079935429896,230.30018591476636,180332926415.9095,180.3329264159095,3292.121713749094,0.71016,0.15077758203909755,8.2591608,0.9389140143454802,51.431,0.7638778929635105,67.32882372138081,14.294915571485912,783.034219879659,6.498405436711045,14.881050000000002,3.1594693269163474,173.06661150000002,120496362916.372,120496.36291637199,2199.75741906322,0.1365100176690579,7.4776248,0,0,0,0,0,50.045613721380825,10.625431773927687,582.030487579659,54777114,54.777114,0,0,0,0
Iran,1990,1561.8262551005773,3381.1467128908434,221.10756433054718,194936632585.0087,194.9366325850087,3467.0079889825124,0.710333,0.1469274998828393,8.26117279,1.0253941290877195,57.654,0.7605351649960423,75.80714561738907,15.680187149994879,881.6371035302349,7.063649133078542,21.724362000000003,4.493534997261508,252.65433006000006,124813263926.374,124813.263926374,2219.84230170291,0.11373476254880177,6.3948718,0,0,0,0,0,51.92545061738906,10.74042264614316,603.8929906802348,56226185,56.226185,0,0,0,0
Iran,1991,NA,3447.650928197037,223.3965048190394,216564193054.69687,216.56419305469686,3774.500893179525,1.013929,0.2055228626518207,11.791994270000002,1.0948036711922617,62.815,0.7535859648076716,83.35479020768585,16.89597111752948,969.4162101153865,NA,25.281031499999994,5.124451480005849,294.0183963449999,NA,NA,NA,0.11938998302832089,6.85007,0,0,0,0,0,55.50982970768586,11.251812609007807,645.5793195003866,57375584,57.375584,0,0,0,0
